Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,225680.000000,226490.000000,215208.000000,216220.000000,216220.000000,6200
2016-10-01,216000.000000,218500.000000,213030.000000,215700.000000,215700.000000,5200
2016-11-01,216798.000000,238590.000000,213680.000000,237000.000000,237000.000000,11300
2016-12-01,236361.000000,250786.000000,236340.000000,244121.000000,244121.000000,6900
2017-01-01,246382.000000,247738.000000,237984.000000,245980.000000,245980.000000,5100
2017-02-01,247700.000000,258270.000000,243370.000000,257100.000000,257100.000000,8200
2017-03-01,261815.000000,266445.000000,248810.000000,249850.000000,249850.000000,8600
2017-04-01,250121.000000,253390.000000,243600.000000,247780.000000,247780.000000,4700
2017-05-01,248460.000000,252000.000000,242180.000000,248440.000000,248440.000000,7100
2017-06-01,248530.000000,257945.000000,247610.000000,254700.000000,254700.000000,8100
2017-07-01,254990.000000,263441.000000,252254.000000,262786.000000,262786.000000,6400
2017-08-01,263929.000000,272857.000000,262700.000000,271450.000000,271450.000000,6400
2017-09-01,272800.000000,275945.000000,259040.000000,274740.000000,274740.000000,5800
2017-10-01,274999.000000,285950.000000,274500.000000,280470.000000,280470.000000,4700
2017-11-01,282200.000000,291500.000000,270250.000000,291500.000000,291500.000000,5800
2017-12-01,290634.000000,301000.000000,284750.000000,297600.000000,297600.000000,6000
2018-01-01,297400.000000,326350.000000,294000.000000,323375.000000,323375.000000,8800
2018-02-01,322300.000000,326110.000000,285250.000000,310250.000000,310250.000000,9600
2018-03-01,311000.000000,320000.000000,288450.000000,299100.000000,299100.000000,6700
2018-04-01,298620.000000,304200.000000,288740.000000,290650.000000,290650.000000,5100
2018-05-01,291150.000000,303530.000000,280428.000000,287200.000000,287200.000000,7100
2018-06-01,290080.000000,295302.000000,281600.000000,282040.000000,282040.000000,6800
2018-07-01,282050.000000,304400.000000,281600.000000,301550.000000,301550.000000,6600
2018-08-01,302500.000000,317850.000000,299000.000000,315800.000000,315800.000000,5500
2018-09-01,315800.000000,334560.000000,315000.000000,320000.000000,320000.000000,5900
2018-10-01,323165.000000,335900.000000,296003.000000,307705.000000,307705.000000,8700
